id	title	description	availability	availability date	expiration date	link	mobile link	image link	price	sale price	sale price effective date	identifier exists	gtin	mpn	brand	product highlight	product detail	additional image link	condition	adult	color	size	size type	size system	gender	material	pattern	age group	multipack	is bundle	unit pricing measure	unit pricing base measure	energy efficiency class	min energy efficiency class	min energy efficiency class	item group id	sell on google quantity
AMRIT-DAIRY-007	Amrit Milk Organic Curd - 1 kg	Thick, probiotic-rich Curd made from A2 milk. Freshly made daily from A2 Desi Gir cow milk. Thick, creamy texture with live probiotic cultures. No preservatives | No additives | Hand-set. Traditional clay-pot setting for authentic taste	in stock			https://amritmilkorganic.com/products/a2-curd-1kg		https://cdn.sanity.io/images/fqzgs92z/production/503d6048ccfb99409a1335fca3701e507b1abaa8-912x1090.png	200 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-006	Amrit Milk Organic Paneer - 1 kg	Freshly made Malai Paneer from A2 milk. Freshly made daily from A2 Desi Gir cow milk. Soft, spongy texture with rich malai (cream). No preservatives | No additives. Hand-crafted using traditional methods	in stock			https://amritmilkorganic.com/products/a2-paneer-1kg		https://cdn.sanity.io/images/fqzgs92z/production/42aa04e3817e72165e21e7d8daf97d02156808f2-953x756.png	500 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-005	Amrit Milk Organic A2 Cow Ghee	Traditional Bilona method A2 Cow Ghee. Pure gold for health. Made using traditional Bilona hand-churning method. 100% A2 beta-casein protein from Desi Gir cows. Rich golden color and aromatic fragrance. Chemical-free | Preservative-free | Grain-fed cows	in stock			https://amritmilkorganic.com/products/a2-cow-ghee-1kg		https://cdn.sanity.io/images/fqzgs92z/production/9a399125cfa18ed6e683c0e146d4d5b766f71690-1024x576.png	2500 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-004	Amrit Milk Organic A2 Colostrum Milk - 1 L	Immunity-boosting first milk (Colostrum) from A2 cows. First milk (Colostrum) rich in antibodies. From A2 Desi cows within 24-48 hours post-calving. Thick, creamy, yellowish liquid gold. No hormones | Naturally nutrient-dense	in stock			https://amritmilkorganic.com/products/a2-colostrum-milk-1l		https://cdn.sanity.io/images/fqzgs92z/production/f916b174a2a73a7ce00b5961961bca29da2fb162-1760x2400.png	150 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-003	Amrit Milk Organic A2 Buffalo Milk - 1 L	Rich and creamy A2 Buffalo milk. 100% pure A2 beta-casein protein from buffalo. Higher fat content (7-8%) for rich, creamy texture. Farm-fresh daily delivery. No hormones | No antibiotics | Grass-fed buffalo	in stock			https://amritmilkorganic.com/products/a2-buffalo-milk-1l		https://cdn.sanity.io/images/fqzgs92z/production/6aa6181d6b6cc8f08db5f78f791331bc3df0b44c-1760x2400.png	110 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-002	Amrit Milk Organic A2 Sahiwal Cow Milk - 1 L	Fresh A2 milk from Sahiwal breed cows. 100% pure A2 beta-casein protein. From indigenous Sahiwal breed cows. Farm-fresh daily delivery. No hormones | No antibiotics | Grass-fed cows	in stock			https://amritmilkorganic.com/products/a2-sahiwal-cow-milk-1l		https://cdn.sanity.io/images/fqzgs92z/production/39f610b9c8e12bd7609bdd2e48c3d4834eb0b532-749x1024.png	100 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-001	Amrit Milk Organic A2 Gir Cow Milk - 1 L	Pure A2 beta-casein milk from indigenous Desi Gir cows. High nutritional value. 100% pure A2 beta-casein protein. From indigenous Desi Gir cows. Farm-fresh daily delivery. No hormones | No antibiotics | Grass-fed cows	in stock			https://amritmilkorganic.com/products/a2-gir-cow-milk-1l		https://cdn.sanity.io/images/fqzgs92z/production/0a89ea5053f49fa4e2e47c554a30ab3a72a09ec0-768x1024.png	125 INR			no			Amrit Milk				new	no																	
AMRIT-DAL-001	Amrit Organic Toor / Arhar Dal - 1 kg	Unpolished, farm-fresh Toor (Arhar) Dal. 100% Unpolished and chemical-free. Rich source of plant protein. Farm-fresh and naturally aromatic. No artificial colors or polish	in stock			https://amritmilkorganic.com/products/organic-toor-dal-1kg		https://amritmilkorganic.com/assets/img/products/amrit_dal_toor.jpg	180 INR			no			Amrit Milk				new	no																	
AMRIT-DAL-002	Amrit Organic Chana Dal - 1 kg	Premium unpolished Chana Dal, rich in fiber. 100% Organic and unpolished. Nutty flavor and firm texture. High in fiber and protein. Chemical-free and pesticide-free	in stock			https://amritmilkorganic.com/products/organic-chana-dal-1kg		https://amritmilkorganic.com/assets/img/products/dal_chana_premium.png	120 INR			no			Amrit Milk				new	no																	
AMRIT-DAL-003	Amrit Organic Urad Dal - 1 kg	Whole Black Urad Dal for authentic Dal Makhani. Whole Black Urad with skin. Rich, creamy texture when cooked. Source of protein and iron. Traditional stone-ground quality	in stock			https://amritmilkorganic.com/products/organic-urad-dal-1kg		https://amritmilkorganic.com/assets/img/products/amrit_dal_urad.jpg	170 INR			no			Amrit Milk				new	no																	
AMRIT-DAL-004	Amrit Organic Moong Dal - 1 kg	Yellow Split Moong Dal, easy to digest. Yellow split Moong beans. Lightest and easiest to digest dal. Quick cooking and versatile. No polish | No chemicals	in stock			https://amritmilkorganic.com/products/organic-moong-dal-1kg		https://amritmilkorganic.com/assets/img/products/dal_moong_premium.png	160 INR			no			Amrit Milk				new	no																	
AMRIT-COMBO-006	Panchamrit Custom Combo	Build your own Panchamrit bundle. Choose your A2 Ghee, Oils, Honey, Grains, and extras. Fully customizable wellness bundle. Select your preferred Ghee, Oils, Honey & Grains. Includes options for Jaggery & Sirka. Perfect for gifting or monthly groceries	in stock			https://amritmilkorganic.com/products/panchamrit-custom-combo		https://amritmilkorganic.com/assets/img/products/panchamrit_combo.jpg	3900 INR			no			Amrit Milk				new	no																	
